i_id,商品名称,缺失字段,缺失原因,建议补充问题,优先级
K10,4号折叠脸盆;散装;绿,color,API数据中该字段为空,请补充商品颜色信息,L
K11,4号折叠脸盆;散装;灰,main_image,API数据中该字段为空,请上传商品主图,M
K11,4号折叠脸盆;散装;灰,price,API数据中该字段为空,请补充成本价或售价,M
K11,4号折叠脸盆;散装;灰,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K11,4号折叠脸盆;散装;灰,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K11,4号折叠脸盆;散装;灰,material,API数据中该字段为空,请补充商品材质信息,L
K11,4号折叠脸盆;散装;灰,weight,API数据中该字段为空,请补充商品重量,L
K11,4号折叠脸盆;散装;灰,color,API数据中该字段为空,请补充商品颜色信息,L
K12,5号折叠脸盆;散装;灰,main_image,API数据中该字段为空,请上传商品主图,M
K12,5号折叠脸盆;散装;灰,price,API数据中该字段为空,请补充成本价或售价,M
K12,5号折叠脸盆;散装;灰,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K12,5号折叠脸盆;散装;灰,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K12,5号折叠脸盆;散装;灰,material,API数据中该字段为空,请补充商品材质信息,L
K12,5号折叠脸盆;散装;灰,weight,API数据中该字段为空,请补充商品重量,L
K12,5号折叠脸盆;散装;灰,color,API数据中该字段为空,请补充商品颜色信息,L
K13,5号折叠脸盆;散装;蓝,main_image,API数据中该字段为空,请上传商品主图,M
K13,5号折叠脸盆;散装;蓝,price,API数据中该字段为空,请补充成本价或售价,M
K13,5号折叠脸盆;散装;蓝,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K13,5号折叠脸盆;散装;蓝,material,API数据中该字段为空,请补充商品材质信息,L
K13,5号折叠脸盆;散装;蓝,weight,API数据中该字段为空,请补充商品重量,L
K13,5号折叠脸盆;散装;蓝,color,API数据中该字段为空,请补充商品颜色信息,L
K14,5号折叠脸盆;散装;浅棕,main_image,API数据中该字段为空,请上传商品主图,M
K14,5号折叠脸盆;散装;浅棕,price,API数据中该字段为空,请补充成本价或售价,M
K14,5号折叠脸盆;散装;浅棕,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K14,5号折叠脸盆;散装;浅棕,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K14,5号折叠脸盆;散装;浅棕,material,API数据中该字段为空,请补充商品材质信息,L
K14,5号折叠脸盆;散装;浅棕,weight,API数据中该字段为空,请补充商品重量,L
K14,5号折叠脸盆;散装;浅棕,color,API数据中该字段为空,请补充商品颜色信息,L
K15,1号浴床;散装（10个/箱）,main_image,API数据中该字段为空,请上传商品主图,M
K15,1号浴床;散装（10个/箱）,price,API数据中该字段为空,请补充成本价或售价,M
K15,1号浴床;散装（10个/箱）,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K15,1号浴床;散装（10个/箱）,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K15,1号浴床;散装（10个/箱）,material,API数据中该字段为空,请补充商品材质信息,L
K15,1号浴床;散装（10个/箱）,weight,API数据中该字段为空,请补充商品重量,L
K15,1号浴床;散装（10个/箱）,color,API数据中该字段为空,请补充商品颜色信息,L
K16,2号浴床;散装;常规,main_image,API数据中该字段为空,请上传商品主图,M
K16,2号浴床;散装;常规,price,API数据中该字段为空,请补充成本价或售价,M
K16,2号浴床;散装;常规,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K16,2号浴床;散装;常规,material,API数据中该字段为空,请补充商品材质信息,L
K16,2号浴床;散装;常规,weight,API数据中该字段为空,请补充商品重量,L
K16,2号浴床;散装;常规,color,API数据中该字段为空,请补充商品颜色信息,L
K17,2号浴床;散装;感温,main_image,API数据中该字段为空,请上传商品主图,M
K17,2号浴床;散装;感温,price,API数据中该字段为空,请补充成本价或售价,M
K17,2号浴床;散装;感温,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K17,2号浴床;散装;感温,material,API数据中该字段为空,请补充商品材质信息,L
K17,2号浴床;散装;感温,weight,API数据中该字段为空,请补充商品重量,L
K17,2号浴床;散装;感温,color,API数据中该字段为空,请补充商品颜色信息,L
K18,1号落地衣架底座,main_image,API数据中该字段为空,请上传商品主图,M
K18,1号落地衣架底座,price,API数据中该字段为空,请补充成本价或售价,M
K18,1号落地衣架底座,material,API数据中该字段为空,请补充商品材质信息,L
K18,1号落地衣架底座,weight,API数据中该字段为空,请补充商品重量,L
K18,1号落地衣架底座,color,API数据中该字段为空,请补充商品颜色信息,L
K19,1号落地衣架底座,main_image,API数据中该字段为空,请上传商品主图,M
K19,1号落地衣架底座,price,API数据中该字段为空,请补充成本价或售价,M
K19,1号落地衣架底座,material,API数据中该字段为空,请补充商品材质信息,L
K19,1号落地衣架底座,weight,API数据中该字段为空,请补充商品重量,L
K19,1号落地衣架底座,color,API数据中该字段为空,请补充商品颜色信息,L
K2,1号折叠脸盆;散装;绿,main_image,API数据中该字段为空,请上传商品主图,M
K2,1号折叠脸盆;散装;绿,price,API数据中该字段为空,请补充成本价或售价,M
K2,1号折叠脸盆;散装;绿,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K2,1号折叠脸盆;散装;绿,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K2,1号折叠脸盆;散装;绿,material,API数据中该字段为空,请补充商品材质信息,L
K2,1号折叠脸盆;散装;绿,weight,API数据中该字段为空,请补充商品重量,L
K2,1号折叠脸盆;散装;绿,color,API数据中该字段为空,请补充商品颜色信息,L
K3,1号折叠脸盆;散装;灰,main_image,API数据中该字段为空,请上传商品主图,M
K3,1号折叠脸盆;散装;灰,price,API数据中该字段为空,请补充成本价或售价,M
K3,1号折叠脸盆;散装;灰,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K3,1号折叠脸盆;散装;灰,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K3,1号折叠脸盆;散装;灰,material,API数据中该字段为空,请补充商品材质信息,L
K3,1号折叠脸盆;散装;灰,weight,API数据中该字段为空,请补充商品重量,L
K3,1号折叠脸盆;散装;灰,color,API数据中该字段为空,请补充商品颜色信息,L
K4,1号折叠脸盆;散装;浅棕,main_image,API数据中该字段为空,请上传商品主图,M
K4,1号折叠脸盆;散装;浅棕,price,API数据中该字段为空,请补充成本价或售价,M
K4,1号折叠脸盆;散装;浅棕,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K4,1号折叠脸盆;散装;浅棕,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K4,1号折叠脸盆;散装;浅棕,material,API数据中该字段为空,请补充商品材质信息,L
K4,1号折叠脸盆;散装;浅棕,weight,API数据中该字段为空,请补充商品重量,L
K4,1号折叠脸盆;散装;浅棕,color,API数据中该字段为空,请补充商品颜色信息,L
K5,1号折叠脸盆;散装;深棕,main_image,API数据中该字段为空,请上传商品主图,M
K5,1号折叠脸盆;散装;深棕,price,API数据中该字段为空,请补充成本价或售价,M
K5,1号折叠脸盆;散装;深棕,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K5,1号折叠脸盆;散装;深棕,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K5,1号折叠脸盆;散装;深棕,material,API数据中该字段为空,请补充商品材质信息,L
K5,1号折叠脸盆;散装;深棕,weight,API数据中该字段为空,请补充商品重量,L
K5,1号折叠脸盆;散装;深棕,color,API数据中该字段为空,请补充商品颜色信息,L
K6,2号折叠脸盆;散装;灰,main_image,API数据中该字段为空,请上传商品主图,M
K6,2号折叠脸盆;散装;灰,price,API数据中该字段为空,请补充成本价或售价,M
K6,2号折叠脸盆;散装;灰,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K6,2号折叠脸盆;散装;灰,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K6,2号折叠脸盆;散装;灰,material,API数据中该字段为空,请补充商品材质信息,L
K6,2号折叠脸盆;散装;灰,weight,API数据中该字段为空,请补充商品重量,L
K6,2号折叠脸盆;散装;灰,color,API数据中该字段为空,请补充商品颜色信息,L
K7,2号折叠脸盆;散装;浅棕,main_image,API数据中该字段为空,请上传商品主图,M
K7,2号折叠脸盆;散装;浅棕,price,API数据中该字段为空,请补充成本价或售价,M
K7,2号折叠脸盆;散装;浅棕,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K7,2号折叠脸盆;散装;浅棕,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K7,2号折叠脸盆;散装;浅棕,material,API数据中该字段为空,请补充商品材质信息,L
K7,2号折叠脸盆;散装;浅棕,weight,API数据中该字段为空,请补充商品重量,L
K7,2号折叠脸盆;散装;浅棕,color,API数据中该字段为空,请补充商品颜色信息,L
K8,2号折叠脸盆;散装;深棕,main_image,API数据中该字段为空,请上传商品主图,M
K8,2号折叠脸盆;散装;深棕,price,API数据中该字段为空,请补充成本价或售价,M
K8,2号折叠脸盆;散装;深棕,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K8,2号折叠脸盆;散装;深棕,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K8,2号折叠脸盆;散装;深棕,material,API数据中该字段为空,请补充商品材质信息,L
K8,2号折叠脸盆;散装;深棕,weight,API数据中该字段为空,请补充商品重量,L
K8,2号折叠脸盆;散装;深棕,color,API数据中该字段为空,请补充商品颜色信息,L
K9,4号折叠脸盆;散装;紫,main_image,API数据中该字段为空,请上传商品主图,M
K9,4号折叠脸盆;散装;紫,price,API数据中该字段为空,请补充成本价或售价,M
K9,4号折叠脸盆;散装;紫,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K9,4号折叠脸盆;散装;紫,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K9,4号折叠脸盆;散装;紫,material,API数据中该字段为空,请补充商品材质信息,L
K9,4号折叠脸盆;散装;紫,weight,API数据中该字段为空,请补充商品重量,L
K9,4号折叠脸盆;散装;紫,color,API数据中该字段为空,请补充商品颜色信息,L
N20060811-C,三号鲸鱼踏板,main_image,API数据中该字段为空,请上传商品主图,M
N20060811-C,三号鲸鱼踏板,price,API数据中该字段为空,请补充成本价或售价,M
N20060811-C,三号鲸鱼踏板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20060811-C,三号鲸鱼踏板,material,API数据中该字段为空,请补充商品材质信息,L
N20060811-C,三号鲸鱼踏板,weight,API数据中该字段为空,请补充商品重量,L
N20060811-C,三号鲸鱼踏板,color,API数据中该字段为空,请补充商品颜色信息,L
N200820-C,四层宇宙飞船收纳架侧板,main_image,API数据中该字段为空,请上传商品主图,M
N200820-C,四层宇宙飞船收纳架侧板,price,API数据中该字段为空,请补充成本价或售价,M
N200820-C,四层宇宙飞船收纳架侧板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N200820-C,四层宇宙飞船收纳架侧板,material,API数据中该字段为空,请补充商品材质信息,L
N200820-C,四层宇宙飞船收纳架侧板,weight,API数据中该字段为空,请补充商品重量,L
N200820-C,四层宇宙飞船收纳架侧板,color,API数据中该字段为空,请补充商品颜色信息,L
N20090303-C,凳腿,main_image,API数据中该字段为空,请上传商品主图,M
N20090303-C,凳腿,price,API数据中该字段为空,请补充成本价或售价,M
N20090303-C,凳腿,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20090303-C,凳腿,material,API数据中该字段为空,请补充商品材质信息,L
N20090303-C,凳腿,weight,API数据中该字段为空,请补充商品重量,L
N20090303-C,凳腿,color,API数据中该字段为空,请补充商品颜色信息,L
N20092603-C,1号篮球杆,main_image,API数据中该字段为空,请上传商品主图,M
N20092603-C,1号篮球杆,price,API数据中该字段为空,请补充成本价或售价,M
N20092603-C,1号篮球杆,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092603-C,1号篮球杆,material,API数据中该字段为空,请补充商品材质信息,L
N20092603-C,1号篮球杆,weight,API数据中该字段为空,请补充商品重量,L
N20092603-C,1号篮球杆,color,API数据中该字段为空,请补充商品颜色信息,L
N20092801-C01,2号篮球杆上段,main_image,API数据中该字段为空,请上传商品主图,M
N20092801-C01,2号篮球杆上段,price,API数据中该字段为空,请补充成本价或售价,M
N20092801-C01,2号篮球杆上段,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092801-C01,2号篮球杆上段,material,API数据中该字段为空,请补充商品材质信息,L
N20092801-C01,2号篮球杆上段,weight,API数据中该字段为空,请补充商品重量,L
N20092801-C01,2号篮球杆上段,color,API数据中该字段为空,请补充商品颜色信息,L
N20092801-C02,2号篮球杆下段,main_image,API数据中该字段为空,请上传商品主图,M
N20092801-C02,2号篮球杆下段,price,API数据中该字段为空,请补充成本价或售价,M
N20092801-C02,2号篮球杆下段,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092801-C02,2号篮球杆下段,material,API数据中该字段为空,请补充商品材质信息,L
N20092801-C02,2号篮球杆下段,weight,API数据中该字段为空,请补充商品重量,L
N20092801-C02,2号篮球杆下段,color,API数据中该字段为空,请补充商品颜色信息,L
N20092802-C,萝卜门框,main_image,API数据中该字段为空,请上传商品主图,M
N20092802-C,萝卜门框,price,API数据中该字段为空,请补充成本价或售价,M
N20092802-C,萝卜门框,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092802-C,萝卜门框,material,API数据中该字段为空,请补充商品材质信息,L
N20092802-C,萝卜门框,weight,API数据中该字段为空,请补充商品重量,L
N20092802-C,萝卜门框,color,API数据中该字段为空,请补充商品颜色信息,L
N20092803-C,落地篮球架兔子篮板,main_image,API数据中该字段为空,请上传商品主图,M
N20092803-C,落地篮球架兔子篮板,price,API数据中该字段为空,请补充成本价或售价,M
N20092803-C,落地篮球架兔子篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092803-C,落地篮球架兔子篮板,material,API数据中该字段为空,请补充商品材质信息,L
N20092803-C,落地篮球架兔子篮板,weight,API数据中该字段为空,请补充商品重量,L
N20092803-C,落地篮球架兔子篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092805-C01,1号洞板,main_image,API数据中该字段为空,请上传商品主图,M
N20092805-C01,1号洞板,price,API数据中该字段为空,请补充成本价或售价,M
N20092805-C01,1号洞板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092805-C01,1号洞板,material,API数据中该字段为空,请补充商品材质信息,L
N20092805-C01,1号洞板,weight,API数据中该字段为空,请补充商品重量,L
N20092805-C01,1号洞板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092805-C02,1号脚架,main_image,API数据中该字段为空,请上传商品主图,M
N20092805-C02,1号脚架,price,API数据中该字段为空,请补充成本价或售价,M
N20092805-C02,1号脚架,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092805-C02,1号脚架,material,API数据中该字段为空,请补充商品材质信息,L
N20092805-C02,1号脚架,weight,API数据中该字段为空,请补充商品重量,L
N20092805-C02,1号脚架,color,API数据中该字段为空,请补充商品颜色信息,L
N20092806-C,2号脚架,main_image,API数据中该字段为空,请上传商品主图,M
N20092806-C,2号脚架,price,API数据中该字段为空,请补充成本价或售价,M
N20092806-C,2号脚架,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092806-C,2号脚架,material,API数据中该字段为空,请补充商品材质信息,L
N20092806-C,2号脚架,weight,API数据中该字段为空,请补充商品重量,L
N20092806-C,2号脚架,color,API数据中该字段为空,请补充商品颜色信息,L
N20092808-C,狮子脸篮板,main_image,API数据中该字段为空,请上传商品主图,M
N20092808-C,狮子脸篮板,price,API数据中该字段为空,请补充成本价或售价,M
N20092808-C,狮子脸篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092808-C,狮子脸篮板,material,API数据中该字段为空,请补充商品材质信息,L
N20092808-C,狮子脸篮板,weight,API数据中该字段为空,请补充商品重量,L
N20092808-C,狮子脸篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092809-C,蛋壳篮板,main_image,API数据中该字段为空,请上传商品主图,M
N20092809-C,蛋壳篮板,price,API数据中该字段为空,请补充成本价或售价,M
N20092809-C,蛋壳篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092809-C,蛋壳篮板,material,API数据中该字段为空,请补充商品材质信息,L
N20092809-C,蛋壳篮板,weight,API数据中该字段为空,请补充商品重量,L
N20092809-C,蛋壳篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N2009281-C,光环篮板,main_image,API数据中该字段为空,请上传商品主图,M
N2009281-C,光环篮板,price,API数据中该字段为空,请补充成本价或售价,M
N2009281-C,光环篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N2009281-C,光环篮板,material,API数据中该字段为空,请补充商品材质信息,L
N2009281-C,光环篮板,weight,API数据中该字段为空,请补充商品重量,L
N2009281-C,光环篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092810-C,小鸡篮板,main_image,API数据中该字段为空,请上传商品主图,M
N20092810-C,小鸡篮板,price,API数据中该字段为空,请补充成本价或售价,M
N20092810-C,小鸡篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092810-C,小鸡篮板,material,API数据中该字段为空,请补充商品材质信息,L
N20092810-C,小鸡篮板,weight,API数据中该字段为空,请补充商品重量,L
N20092810-C,小鸡篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092811-C,飞碟篮板,main_image,API数据中该字段为空,请上传商品主图,M
N20092811-C,飞碟篮板,price,API数据中该字段为空,请补充成本价或售价,M
N20092811-C,飞碟篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092811-C,飞碟篮板,material,API数据中该字段为空,请补充商品材质信息,L
N20092811-C,飞碟篮板,weight,API数据中该字段为空,请补充商品重量,L
N20092811-C,飞碟篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092812-C,星球篮板,main_image,API数据中该字段为空,请上传商品主图,M
N20092812-C,星球篮板,price,API数据中该字段为空,请补充成本价或售价,M
N20092812-C,星球篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092812-C,星球篮板,material,API数据中该字段为空,请补充商品材质信息,L
N20092812-C,星球篮板,weight,API数据中该字段为空,请补充商品重量,L
N20092812-C,星球篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092815-C,母鸡门框,main_image,API数据中该字段为空,请上传商品主图,M
N20092815-C,母鸡门框,price,API数据中该字段为空,请补充成本价或售价,M
N20092815-C,母鸡门框,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092815-C,母鸡门框,material,API数据中该字段为空,请补充商品材质信息,L
N20092815-C,母鸡门框,weight,API数据中该字段为空,请补充商品重量,L
N20092815-C,母鸡门框,color,API数据中该字段为空,请补充商品颜色信息,L
N20092816-C01,2号洞板,main_image,API数据中该字段为空,请上传商品主图,M
N20092816-C01,2号洞板,price,API数据中该字段为空,请补充成本价或售价,M
N20092816-C01,2号洞板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092816-C01,2号洞板,material,API数据中该字段为空,请补充商品材质信息,L
N20092816-C01,2号洞板,weight,API数据中该字段为空,请补充商品重量,L
N20092816-C01,2号洞板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092816-C02,外星人门框,main_image,API数据中该字段为空,请上传商品主图,M
N20092816-C02,外星人门框,price,API数据中该字段为空,请补充成本价或售价,M
N20092816-C02,外星人门框,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092816-C02,外星人门框,material,API数据中该字段为空,请补充商品材质信息,L
N20092816-C02,外星人门框,weight,API数据中该字段为空,请补充商品重量,L
N20092816-C02,外星人门框,color,API数据中该字段为空,请补充商品颜色信息,L
N20092817-C01,3号洞板,main_image,API数据中该字段为空,请上传商品主图,M
N20092817-C01,3号洞板,price,API数据中该字段为空,请补充成本价或售价,M
N20092817-C01,3号洞板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092817-C01,3号洞板,material,API数据中该字段为空,请补充商品材质信息,L
N20092817-C01,3号洞板,weight,API数据中该字段为空,请补充商品重量,L
N20092817-C01,3号洞板,color,API数据中该字段为空,请补充商品颜色信息,L
N20092817-C02,火箭门框,main_image,API数据中该字段为空,请上传商品主图,M
N20092817-C02,火箭门框,price,API数据中该字段为空,请补充成本价或售价,M
N20092817-C02,火箭门框,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20092817-C02,火箭门框,material,API数据中该字段为空,请补充商品材质信息,L
N20092817-C02,火箭门框,weight,API数据中该字段为空,请补充商品重量,L
N20092817-C02,火箭门框,color,API数据中该字段为空,请补充商品颜色信息,L
N20101303-C02,奶油篮板,main_image,API数据中该字段为空,请上传商品主图,M
N20101303-C02,奶油篮板,price,API数据中该字段为空,请补充成本价或售价,M
N20101303-C02,奶油篮板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20101303-C02,奶油篮板,material,API数据中该字段为空,请补充商品材质信息,L
N20101303-C02,奶油篮板,weight,API数据中该字段为空,请补充商品重量,L
N20101303-C02,奶油篮板,color,API数据中该字段为空,请补充商品颜色信息,L
N20101303-C03,奶油门框,main_image,API数据中该字段为空,请上传商品主图,M
N20101303-C03,奶油门框,price,API数据中该字段为空,请补充成本价或售价,M
N20101303-C03,奶油门框,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20101303-C03,奶油门框,material,API数据中该字段为空,请补充商品材质信息,L
N20101303-C03,奶油门框,weight,API数据中该字段为空,请补充商品重量,L
N20101303-C03,奶油门框,color,API数据中该字段为空,请补充商品颜色信息,L
N20102404-C,2号球杆,main_image,API数据中该字段为空,请上传商品主图,M
N20102404-C,2号球杆,price,API数据中该字段为空,请补充成本价或售价,M
N20102404-C,2号球杆,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
N20102404-C,2号球杆,material,API数据中该字段为空,请补充商品材质信息,L
N20102404-C,2号球杆,weight,API数据中该字段为空,请补充商品重量,L
N20102404-C,2号球杆,color,API数据中该字段为空,请补充商品颜色信息,L
N20103001-C,宝宝树收纳架主板,main_image,API数据中该字段为空,请上传商品主图,M
