i_id,商品名称,类目,品牌,商品状态,SKU数,主图URL,成本价(最低),成本价(最高),售价,库存总量,规格属性(首个SKU),颜色(从规格提取),重量(kg),长(cm),宽(cm),高(cm),体积,供应商,标签,关联店铺,缺失字段,缺失字段数,完整度评分,Agent可用等级,审核状态,质量警告,最后更新时间
K10,4号折叠脸盆;散装;绿,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:09:37.330
K11,4号折叠脸盆;散装;灰,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:09:49.433
K12,5号折叠脸盆;散装;灰,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:10:02.573
K13,5号折叠脸盆;散装;蓝,成品类 - YH19脸盆类,,未知,1,,,,,0,,,,,,,,,,,"main_image, price, properties_value, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:10:30.090
K14,5号折叠脸盆;散装;浅棕,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:10:42.977
K15,1号浴床;散装（10个/箱）,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:10:53.617
K16,2号浴床;散装;常规,成品类 - YH19脸盆类,,未知,1,,,,,0,,,,,,,,,未上架,,"main_image, price, properties_value, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:11:07.680
K17,2号浴床;散装;感温,成品类 - YH19脸盆类,,未知,1,,,,,0,,,,,,,,,,,"main_image, price, properties_value, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:11:39.830
K18,1号落地衣架底座,成品类 - YH33衣架类,,未知,1,,,,,0,暮云灰,,,,,,,,,,"main_image, price, material, weight, color",5,70,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2024-01-19 16:53:34.110
K19,1号落地衣架底座,成品类 - YH33衣架类,,未知,1,,,,,0,秋杏棕,,,,,,,,,,"main_image, price, material, weight, color",5,70,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2024-01-19 16:54:26.390
K2,1号折叠脸盆;散装;绿,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:07:36.753
K3,1号折叠脸盆;散装;灰,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:07:55.720
K4,1号折叠脸盆;散装;浅棕,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:08:08.640
K5,1号折叠脸盆;散装;深棕,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:08:22.063
K6,2号折叠脸盆;散装;灰,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,未上架,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:08:36.390
K7,2号折叠脸盆;散装;浅棕,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,未上架,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:08:49.347
K8,2号折叠脸盆;散装;深棕,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,未上架,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:09:02.387
K9,4号折叠脸盆;散装;紫,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,未上架,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:09:16.687
N20060811-C,三号鲸鱼踏板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N200820-C,四层宇宙飞船收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20090303-C,凳腿,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092603-C,1号篮球杆,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092801-C01,2号篮球杆上段,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092801-C02,2号篮球杆下段,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092802-C,萝卜门框,半成品类 - 吹塑部件,,未知,1,,,,,,丹霞橙,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092803-C,落地篮球架兔子篮板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092805-C01,1号洞板,半成品类 - 吹塑部件,英禾,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:20:45.107
N20092805-C02,1号脚架,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092806-C,2号脚架,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092808-C,狮子脸篮板,半成品类 - 吹塑部件,,未知,1,,,,,,萱草黄,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092809-C,蛋壳篮板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N2009281-C,光环篮板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092810-C,小鸡篮板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092811-C,飞碟篮板,半成品类 - 吹塑部件,,未知,1,,,,,,星海蓝,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092812-C,星球篮板,半成品类 - 吹塑部件,,未知,1,,,,,,星海蓝,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092815-C,母鸡门框,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092816-C01,2号洞板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092816-C02,外星人门框,半成品类 - 吹塑部件,,未知,1,,,,,,海棠红,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092817-C01,3号洞板,半成品类 - 吹塑部件,,未知,1,,,,,,星海蓝,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20092817-C02,火箭门框,半成品类 - 吹塑部件,,未知,1,,,,,,星海蓝,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20101303-C02,奶油篮板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20101303-C03,奶油门框,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20102404-C,2号球杆,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20103001-C,宝宝树收纳架主板,半成品类 - 吹塑部件,,未知,1,,,,,,千禧粉,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20110901-C,三层萌狐收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,海棠红,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20110902-C,四层萌狐收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,海棠红,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20110903-C,三层萌兔收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20110904-C,四层萌兔收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20110905-C,四层奶牛收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20110906-C,北极熊收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,雀羽蓝,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20110907-C,三层奶牛收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20111301-C,三合一画板侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20111401-C,睡睡熊滑梯侧板,半成品类 - 吹塑部件,,未知,1,,,,,,檀木褐,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20111701-C01,海星棒球杆,半成品类 - 吹塑部件,,未知,1,,,,,,海棠红,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20111701-C02,海星篮球架底座,半成品类 - 吹塑部件,,未知,1,,,,,,海棠红,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20111702-C,3号篮球杆上杆,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20111703-C,3号篮球杆下杆,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N201204-C,大火箭滑梯侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N201205-C01,小火箭滑梯侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N201205-C02,小火箭滑梯短杆,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20120701-C,公主鹿滑梯侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20120702-C01,5号上扶手-A,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20120702-C02,5号上扶手-B,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20120703-C01,5号下扶手-A,半成品类 - 吹塑部件,,未知,1,,,,,,溶月灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20120703-C02,5号下扶手-B,半成品类 - 吹塑部件,,未知,1,,,,,,溶月灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20120704-C,5号下滑道,半成品类 - 吹塑部件,,未知,1,,,,,,星海蓝,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122401-C01,封闭式挡板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122401-C02,封闭式洞板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122401-C03,架固板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122402-C,4号滑梯踏板瓢虫图案,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122603-C01,4号上扶手-A,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122603-C02,4号上扶手-B,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122604-C01,4号下扶手-A,半成品类 - 吹塑部件,,未知,1,,,,,,溶月灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122604-C02,4号下扶手-B,半成品类 - 吹塑部件,,未知,1,,,,,,溶月灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122605-C,4号上滑道,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N20122606-C,4号下滑道,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N201406-C,蜻蜓扶手,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N201415-C,公主车滑梯大板,半成品类 - 吹塑部件,,未知,1,,,,,,海棠红,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N201611-C,围栏小熊门板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N210101-Z,三号注塑挡板,半成品类 - 注塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
